x,y,V,t
21194.7,4297.64,363.316,63.46
21197.4,4295.2,363.345,63.47
21200.1,4292.76,363.374,63.48
21202.8,4290.31,363.403,63.49
21205.5,4287.86,363.432,63.5
21208.2,4285.42,363.461,63.51
21210.9,4282.97,363.49,63.52
21213.6,4280.52,363.519,63.53
21216.3,4278.07,363.548,63.54
21219,4275.62,363.577,63.55
21221.6,4273.17,363.606,63.56
21224.3,4270.72,363.635,63.57
21227,4268.27,363.664,63.58
21229.7,4265.81,363.693,63.59
21232.4,4263.36,363.722,63.6
21235.1,4260.91,363.751,63.61
21237.8,4258.45,363.78,63.62
21240.5,4256,363.809,63.63
21243.2,4253.54,363.837,63.64
21245.9,4251.08,363.866,63.65
21248.6,4248.62,363.895,63.66
21251.2,4246.17,363.924,63.67
21253.9,4243.71,363.953,63.68
21256.6,4241.25,363.982,63.69
21259.3,4238.78,364.011,63.7
21262,4236.32,364.039,63.71
21264.7,4233.86,364.068,63.72
21267.4,4231.4,364.097,63.73
21270.1,4228.93,364.126,63.74
21272.8,4226.47,364.155,63.75
21275.4,4224,364.183,63.76
21278.1,4221.54,364.212,63.77
21280.8,4219.07,364.241,63.78
21283.5,4216.6,364.27,63.79
21286.2,4214.14,364.298,63.8
21288.9,4211.67,364.327,63.81
21291.6,4209.2,364.356,63.82
21294.2,4206.73,364.385,63.83
21296.9,4204.25,364.413,63.84
21299.6,4201.78,364.442,63.85
21302.3,4199.31,364.471,63.86
21305,4196.84,364.499,63.87
21307.7,4194.36,364.528,63.88
21310.3,4191.89,364.557,63.89
21313,4189.41,364.585,63.9
21315.7,4186.94,364.614,63.91
21318.4,4184.46,364.642,63.92
21321.1,4181.98,364.671,63.93
21323.8,4179.5,364.699,63.94
21326.4,4177.02,364.728,63.95
21329.1,4174.54,364.756,63.96
21331.8,4172.06,364.785,63.97
21334.5,4169.58,364.814,63.98
21337.2,4167.1,364.842,63.99
21339.8,4164.62,364.871,64
21342.5,4162.13,364.899,64.01
21345.2,4159.65,364.928,64.02
21347.9,4157.17,364.956,64.03
21350.6,4154.68,364.985,64.04
21353.2,4152.19,365.013,64.05
21355.9,4149.71,365.042,64.06
21358.6,4147.22,365.07,64.07
21361.3,4144.73,365.098,64.08
21364,4142.24,365.127,64.09
21366.6,4139.75,365.155,64.1
21369.3,4137.26,365.183,64.11
21372,4134.77,365.212,64.12
21374.7,4132.28,365.24,64.13
21377.3,4129.78,365.268,64.14
21380,4127.29,365.297,64.15
21382.7,4124.8,365.325,64.16
21385.4,4122.3,365.353,64.17
21388,4119.8,365.382,64.18
21390.7,4117.31,365.41,64.19
21393.4,4114.81,365.438,64.2
21396.1,4112.31,365.467,64.21
21398.7,4109.81,365.495,64.22
21401.4,4107.32,365.523,64.23
21404.1,4104.82,365.552,64.24
21406.8,4102.31,365.58,64.25
21409.4,4099.81,365.608,64.26
21412.1,4097.31,365.636,64.27
21414.8,4094.81,365.664,64.28
21417.5,4092.3,365.692,64.29
21420.1,4089.8,365.721,64.3
21422.8,4087.29,365.749,64.31
21425.5,4084.79,365.777,64.32
21428.1,4082.28,365.805,64.33
21430.8,4079.78,365.833,64.34
21433.5,4077.27,365.861,64.35
21436.1,4074.76,365.889,64.36
21438.8,4072.25,365.917,64.37
21441.5,4069.74,365.945,64.38
21444.2,4067.23,365.973,64.39
21446.8,4064.72,366.001,64.4
21449.5,4062.2,366.029,64.41
21452.2,4059.69,366.058,64.42
21454.8,4057.18,366.086,64.43
21457.5,4054.66,366.114,64.44
21460.2,4052.15,366.142,64.45
21462.8,4049.63,366.17,64.46
21465.5,4047.12,366.198,64.47
21468.2,4044.6,366.225,64.48
21470.8,4042.08,366.253,64.49
21473.5,4039.56,366.281,64.5
21476.2,4037.04,366.309,64.51
21478.8,4034.52,366.337,64.52
21481.5,4032,366.365,64.53
21484.2,4029.48,366.393,64.54
21486.8,4026.96,366.42,64.55
21489.5,4024.44,366.448,64.56
21492.2,4021.91,366.476,64.57
21494.8,4019.39,366.504,64.58
21497.5,4016.86,366.532,64.59
21500.1,4014.34,366.56,64.6
21502.8,4011.81,366.587,64.61
21505.5,4009.28,366.615,64.62
21508.1,4006.76,366.643,64.63
21510.8,4004.23,366.671,64.64
21513.5,4001.7,366.699,64.65
21516.1,3999.17,366.727,64.66
21518.8,3996.64,366.754,64.67
21521.4,3994.11,366.782,64.68
21524.1,3991.57,366.809,64.69
21526.8,3989.04,366.837,64.7
21529.4,3986.51,366.865,64.71
21532.1,3983.97,366.892,64.72
21534.7,3981.44,366.92,64.73
21537.4,3978.9,366.948,64.74
21540.1,3976.37,366.975,64.75
21542.7,3973.83,367.003,64.76
21545.4,3971.29,367.03,64.77
21548,3968.75,367.058,64.78
21550.7,3966.21,367.086,64.79
21553.4,3963.67,367.113,64.8
21556,3961.13,367.141,64.81
21558.7,3958.59,367.168,64.82
21561.3,3956.05,367.196,64.83
21564,3953.51,367.223,64.84
21566.6,3950.96,367.251,64.85
21569.3,3948.42,367.279,64.86
21571.9,3945.87,367.306,64.87
21574.6,3943.33,367.333,64.88
21577.3,3940.78,367.361,64.89
21579.9,3938.24,367.388,64.9
21582.6,3935.69,367.415,64.91
21585.2,3933.14,367.443,64.92
21587.9,3930.59,367.47,64.93
21590.5,3928.04,367.498,64.94
21593.2,3925.49,367.525,64.95
21595.8,3922.94,367.552,64.96
21598.5,3920.39,367.58,64.97
21601.1,3917.83,367.607,64.98
21603.8,3915.28,367.634,64.99
21606.4,3912.73,367.662,65
21609.1,3910.17,367.689,65.01
21611.7,3907.62,367.716,65.02
21614.4,3905.06,367.744,65.03
21617,3902.5,367.771,65.04
21619.7,3899.95,367.798,65.05
21622.3,3897.39,367.825,65.06
21625,3894.83,367.853,65.07
21627.6,3892.27,367.88,65.08
21630.3,3889.71,367.907,65.09
21632.9,3887.15,367.934,65.1
21635.6,3884.59,367.961,65.11
21638.2,3882.03,367.988,65.12
21640.9,3879.46,368.015,65.13
21643.5,3876.9,368.042,65.14
